OSN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,%,State,Constituency,ST_CODE,PC_CODE
18,SARAVANAVEL R,Independent,2933,2,2935,0.26,Tamil Nadu,Namakkal,S22,16
19,SAMINATHAN P.P,Independent,23319,28,23347,2.06,Tamil Nadu,Namakkal,S22,16
20,SIVARAJEE S,Independent,341,0,341,0.03,Tamil Nadu,Namakkal,S22,16
21,SELLADURAI S,Independent,288,0,288,0.03,Tamil Nadu,Namakkal,S22,16
22,SELVARAJ K.R,Independent,448,0,448,0.04,Tamil Nadu,Namakkal,S22,16
23,CHO V,Independent,459,0,459,0.04,Tamil Nadu,Namakkal,S22,16
24,NATARAJAN M,Independent,2360,2,2362,0.21,Tamil Nadu,Namakkal,S22,16
25,NALLATHAMBI P,Independent,526,0,526,0.05,Tamil Nadu,Namakkal,S22,16
26,PRABHU K,Independent,587,0,587,0.05,Tamil Nadu,Namakkal,S22,16
27,RAMESH T.R,Independent,683,0,683,0.06,Tamil Nadu,Namakkal,S22,16
28,VINOTHKUMAR V,Independent,4853,4,4857,0.43,Tamil Nadu,Namakkal,S22,16
29,VIJAYAKARTHIKEYAN B,Independent,2044,0,2044,0.18,Tamil Nadu,Namakkal,S22,16
30,NOTA,None of the Above,15007,66,15073,1.33,Tamil Nadu,Namakkal,S22,16
1,GANESHAMURTHI A,Dravida Munnetra Kazhagam,558929,4662,563591,52.78,Tamil Nadu,Erode,S22,17
2,GOPAL M,Bahujan Samaj Party,4128,10,4138,0.39,Tamil Nadu,Erode,S22,17
3,MANIMARAN G,All India Anna Dravida Munnetra Kazhagam,352330,643,352973,33.05,Tamil Nadu,Erode,S22,17
4,KUPPUSAMY P,Ulzaipali Makkal Katchy,3378,1,3379,0.32,Tamil Nadu,Erode,S22,17
5,KUPPUSAMY R,Ganasangam Party of India,1603,0,1603,0.15,Tamil Nadu,Erode,S22,17
6,SARAVANAKUMAR A,Makkal Needhi Maiam,47574,145,47719,4.47,Tamil Nadu,Erode,S22,17
7,SEETHALAKSHMI M K,Naam Tamilar Katchi,38849,161,39010,3.65,Tamil Nadu,Erode,S22,17
8,ARUNACHALAM A,Independent,2069,11,2080,0.19,Tamil Nadu,Erode,S22,17
9,ANANTHI S,Independent,485,0,485,0.05,Tamil Nadu,Erode,S22,17
10,GANESHAMURTHY A C,Independent,1537,2,1539,0.14,Tamil Nadu,Erode,S22,17
11,GANESHAMOORTHY M,Independent,1002,4,1006,0.09,Tamil Nadu,Erode,S22,17
12,KATHIRVEL A,Independent,727,1,728,0.07,Tamil Nadu,Erode,S22,17
13,KARTHIKEYAN P,Independent,1502,6,1508,0.14,Tamil Nadu,Erode,S22,17
14,CHITRA,Independent,1445,1,1446,0.14,Tamil Nadu,Erode,S22,17
15,SUBRAMANIAN K,Independent,1276,2,1278,0.12,Tamil Nadu,Erode,S22,17
16,SENTHILKUMAR K C,Independent,25818,40,25858,2.42,Tamil Nadu,Erode,S22,17
17,DHARMALINGAM S,Independent,2455,0,2455,0.23,Tamil Nadu,Erode,S22,17
18,NATARAJAN A,Independent,525,1,526,0.05,Tamil Nadu,Erode,S22,17
19,PARAMASIVAM N,Independent,1167,0,1167,0.11,Tamil Nadu,Erode,S22,17
20,MANI A,Independent,578,1,579,0.05,Tamil Nadu,Erode,S22,17
21,NOTA,None of the Above,14696,99,14795,1.39,Tamil Nadu,Erode,S22,17
1,"AYYANAR, C.",Bahujan Samaj Party,7312,9,7321,0.65,Tamil Nadu,Tiruppur,S22,18
2,"ANANDAN, M.S.M.",All India Anna Dravida Munnetra Kazhagam,414782,575,415357,37.1,Tamil Nadu,Tiruppur,S22,18
3,"SUBBARAYAN, K.",Communist Party of India,505793,2932,508725,45.44,Tamil Nadu,Tiruppur,S22,18
4,"CHANDIRAKUMAR, V.S.",Makkal Needhi Maiam,64538,119,64657,5.78,Tamil Nadu,Tiruppur,S22,18
5,"JAGANATHAN, P.",Naam Tamilar Katchi,42079,110,42189,3.77,Tamil Nadu,Tiruppur,S22,18
6,"KATHIRESAN, L.",Independent,3473,3,3476,0.31,Tamil Nadu,Tiruppur,S22,18
7,"KANAGARAJ, P.",Independent,1519,1,1520,0.14,Tamil Nadu,Tiruppur,S22,18
8,"KUMAR, D.",Independent,1597,2,1599,0.14,Tamil Nadu,Tiruppur,S22,18
9,"SENTHILVEL, A.",Independent,1898,1,1899,0.17,Tamil Nadu,Tiruppur,S22,18
10,"SELVAM, S.R.",Independent,43766,50,43816,3.91,Tamil Nadu,Tiruppur,S22,18
11,"RAJKUMAR, S.",Independent,4479,2,4481,0.4,Tamil Nadu,Tiruppur,S22,18
12,"JAGANATHAN, P.",Independent,2675,8,2683,0.24,Tamil Nadu,Tiruppur,S22,18
13,NOTA,None of the Above,21782,79,21861,1.95,Tamil Nadu,Tiruppur,S22,18
1,"ASHOK KUMAR, R.",Bahujan Samaj Party,4082,6,4088,0.4,Tamil Nadu,Nilgiris,S22,19
2,"RAJA, A.",Dravida Munnetra Kazhagam,545463,2369,547832,54.2,Tamil Nadu,Nilgiris,S22,19
3,"THIYAGARAJAN, M.",All India Anna Dravida Munnetra Kazhagam,341649,360,342009,33.84,Tamil Nadu,Nilgiris,S22,19
4,"RAJENTHIRAN, N.",Makkal Needhi Maiam,41055,114,41169,4.07,Tamil Nadu,Nilgiris,S22,19
5,"ARUMUKAM, P.",Independent,1619,2,1621,0.16,Tamil Nadu,Nilgiris,S22,19
6,"RAMASWAMY, M.",Independent,40392,27,40419,4,Tamil Nadu,Nilgiris,S22,19
7,"SUBRAMANI, M.",Independent,5219,10,5229,0.52,Tamil Nadu,Nilgiris,S22,19
8,"NAGARAJAN, A.",Independent,2199,0,2199,0.22,Tamil Nadu,Nilgiris,S22,19
9,"RAJARATHINAM, M.",Independent,4746,1,4747,0.47,Tamil Nadu,Nilgiris,S22,19
10,"RAJA, K.",Independent,3254,3,3257,0.32,Tamil Nadu,Nilgiris,S22,19
11,NOTA,None of the Above,18096,53,18149,1.8,Tamil Nadu,Nilgiris,S22,19
1,RADHAKRISHNAN. C.P,Bharatiya Janata Party,390372,0,390372,31.37,Tamil Nadu,Coimbatore,S22,20
2,GOVINDAN. P,Bahujan Samaj Party,4290,0,4290,0.34,Tamil Nadu,Coimbatore,S22,20
3,NATARAJAN. P.R,Communist Party of India  (Marxist),567062,0,567062,45.58,Tamil Nadu,Coimbatore,S22,20
4,KALYANA SUNDARAM. S,Naam Tamilar Katchi,60317,0,60317,4.85,Tamil Nadu,Coimbatore,S22,20
5,MAHENDRAN. R,Makkal Needhi Maiam,144686,0,144686,11.63,Tamil Nadu,Coimbatore,S22,20
6,MANIKANDAN. P,Tamil Nadu Ilangyar Katchi,2299,0,2299,0.18,Tamil Nadu,Coimbatore,S22,20
7,APPATHURAI. N.R.,Independent,37959,0,37959,3.05,Tamil Nadu,Coimbatore,S22,20
8,KANAGASABAPATHY. G,Independent,2718,0,2718,0.22,Tamil Nadu,Coimbatore,S22,20
9,KRISHNAN. V,Independent,2910,0,2910,0.23,Tamil Nadu,Coimbatore,S22,20
10,DHANAPAL. M,Independent,1531,0,1531,0.12,Tamil Nadu,Coimbatore,S22,20
11,NATARAJAN. A,Independent,1362,0,1362,0.11,Tamil Nadu,Coimbatore,S22,20
12,PUSHPANANTHAM. V,Independent,1418,0,1418,0.11,Tamil Nadu,Coimbatore,S22,20
13,RADHAKRISHNAN. U,Independent,2624,0,2624,0.21,Tamil Nadu,Coimbatore,S22,20
14,RADHAKRISHNAN. P,Independent,1620,0,1620,0.13,Tamil Nadu,Coimbatore,S22,20
15,NOTA,None of the Above,23047,0,23047,1.85,Tamil Nadu,Coimbatore,S22,20
1,GANESHA MOORTHY. A,Bahujan Samaj Party,3177,0,3177,0.29,Tamil Nadu,Pollachi,S22,21
2,SHANMUGA SUNDARAM. K,Dravida Munnetra Kazhagam,550905,0,550905,51.13,Tamil Nadu,Pollachi,S22,21
3,MAHENDRAN. C,All India Anna Dravida Munnetra Kazhagam,377546,0,377546,35.04,Tamil Nadu,Pollachi,S22,21
4,SANUJA. U,Naam Tamilar Katchi,31399,0,31399,2.91,Tamil Nadu,Pollachi,S22,21
5,MOOKAMBIKA. R,Makkal Needhi Maiam,59545,0,59545,5.53,Tamil Nadu,Pollachi,S22,21
6,ANSARI. S,Independent,908,0,908,0.08,Tamil Nadu,Pollachi,S22,21
7,SHANMUGA SUNDARAM. K.N.,Independent,711,0,711,0.07,Tamil Nadu,Pollachi,S22,21
8,SHANMUGA SUNDARAM. V,Independent,1271,0,1271,0.12,Tamil Nadu,Pollachi,S22,21
9,BALAJI. G,Independent,804,0,804,0.07,Tamil Nadu,Pollachi,S22,21
10,MANICKAVEL. C,Independent,533,0,533,0.05,Tamil Nadu,Pollachi,S22,21
11,MUTHUKUMAR. C,Independent,943,0,943,0.09,Tamil Nadu,Pollachi,S22,21
12,MUTHUKUMAR. S,Independent,26631,0,26631,2.47,Tamil Nadu,Pollachi,S22,21
13,RAMASAMY. K,Independent,2734,0,2734,0.25,Tamil Nadu,Pollachi,S22,21
14,RAJENDHIRAN. R.G.,Independent,5245,0,5245,0.49,Tamil Nadu,Pollachi,S22,21
15,NOTA,None of the Above,15068,0,15068,1.4,Tamil Nadu,Pollachi,S22,21
1,"ARASUR MANOHARAN (a) MNOHARAN, S",Bahujan Samaj Party,5579,0,5579,0.49,Tamil Nadu,Dindigul,S22,22
2,"VELUSAMY, P.",Dravida Munnetra Kazhagam,727392,0,727392,64.37,Tamil Nadu,Dindigul,S22,22
3,"SUTHAKARAN, S. Dr.",Makkal Needhi Maiam,38113,0,38113,3.37,Tamil Nadu,Dindigul,S22,22
4,"SURESH. K,",Ulzaipali Makkal Katchy,2146,0,2146,0.19,Tamil Nadu,Dindigul,S22,22
5,"MANSOORALI KHAN, A.",Naam Tamilar Katchi,53504,0,53504,4.73,Tamil Nadu,Dindigul,S22,22
6,"JOTHIMUTHU, K.",Pattali Makkal Katchi,202709,0,202709,17.94,Tamil Nadu,Dindigul,S22,22
7,"ARUN KUMAR,A.",Independent,1733,0,1733,0.15,Tamil Nadu,Dindigul,S22,22
8,"ANBUROSE. D,",Independent,1269,0,1269,0.11,Tamil Nadu,Dindigul,S22,22
9,"ANANTHRAJ, T.",Independent,2911,0,2911,0.26,Tamil Nadu,Dindigul,S22,22
10,"IRUDAYASAMY, G.",Independent,1033,0,1033,0.09,Tamil Nadu,Dindigul,S22,22
11,"ESWARAN, R.",Independent,2673,0,2673,0.24,Tamil Nadu,Dindigul,S22,22
12,"UDAYAKUMAR,A.",Independent,1145,0,1145,0.1,Tamil Nadu,Dindigul,S22,22
13,"SHANMUGA PRABU,K.",Independent,820,0,820,0.07,Tamil Nadu,Dindigul,S22,22
14,"DINESHKUMAR, M.",Independent,1374,0,1374,0.12,Tamil Nadu,Dindigul,S22,22
15,"NAGARAJ , M",Independent,3194,0,3194,0.28,Tamil Nadu,Dindigul,S22,22
16,"PANDI, M.",Independent,3026,0,3026,0.27,Tamil Nadu,Dindigul,S22,22
17,"MURUGESAN, S .P,",Independent,1476,0,1476,0.13,Tamil Nadu,Dindigul,S22,22
18,"VETRIVEL, N.",Independent,3799,0,3799,0.34,Tamil Nadu,Dindigul,S22,22
19,"VEMBARASAN. V,",Independent,1101,0,1101,0.1,Tamil Nadu,Dindigul,S22,22
20,"VELUSAMY, P.",Independent,815,0,815,0.07,Tamil Nadu,Dindigul,S22,22
21,"JOTHI MURUGAN,P.",Independent,60492,0,60492,5.35,Tamil Nadu,Dindigul,S22,22
22,NOTA,None of the Above,13773,0,13773,1.22,Tamil Nadu,Dindigul,S22,22
1,AadhiKrishnan P,Bahujan Samaj Party,2955,0,2955,0.28,Tamil Nadu,Karur,S22,23
2,Thambidurai M,All India Anna Dravida Munnetra Kazhagam,268488,0,268488,25.04,Tamil Nadu,Karur,S22,23
3,Jothimani S,Indian National Congress,675031,0,675031,62.97,Tamil Nadu,Karur,S22,23
4,Karuppaiya R,Naam Tamilar Katchi,37722,0,37722,3.52,Tamil Nadu,Karur,S22,23
5,Noyyal Ramasamy M,Tamil Nadu Ilangyar Katchi,1222,0,1222,0.11,Tamil Nadu,Karur,S22,23
6,Manoharan M,Anaithu Makkal Puratchi Katchi,400,0,400,0.04,Tamil Nadu,Karur,S22,23
7,Ramamoorthy R,Ulzaipali Makkal Katchy,697,0,697,0.07,Tamil Nadu,Karur,S22,23
8,Joseph M A,Desiya Makkal Sakthi Katchi,389,0,389,0.04,Tamil Nadu,Karur,S22,23
9,Jothikumar J,Desiya Uzhavar Uzhaipalar Kazhagam,928,0,928,0.09,Tamil Nadu,Karur,S22,23
10,Hariharan Dr R,Makkal Needhi Maiam,15739,0,15739,1.47,Tamil Nadu,Karur,S22,23
11,Anbazhagan T,Independent,645,0,645,0.06,Tamil Nadu,Karur,S22,23
12,Anbukani S,Independent,1111,0,1111,0.1,Tamil Nadu,Karur,S22,23
13,Ulaganathan T,Independent,792,0,792,0.07,Tamil Nadu,Karur,S22,23
14,Ebeneezer S,Independent,1887,0,1887,0.18,Tamil Nadu,Karur,S22,23
15,Kanagaraj R T,Independent,1263,0,1263,0.12,Tamil Nadu,Karur,S22,23
16,Karthi P,Independent,2098,0,2098,0.2,Tamil Nadu,Karur,S22,23
17,Karthikeyan B K,Independent,2218,0,2218,0.21,Tamil Nadu,Karur,S22,23
18,Karthikeyan M,Independent,1535,0,1535,0.14,Tamil Nadu,Karur,S22,23
19,Sathishkumar S,Independent,1471,0,1471,0.14,Tamil Nadu,Karur,S22,23
20,Saraswathi K,Indian New Congress Party,830,0,830,0.08,Tamil Nadu,Karur,S22,23
21,Sivakumar V,Independent,362,0,362,0.03,Tamil Nadu,Karur,S22,23
22,Selvaraj K,Independent,679,0,679,0.06,Tamil Nadu,Karur,S22,23
23,Thangavel P S N,Independent,29849,0,29849,2.78,Tamil Nadu,Karur,S22,23
24,Dasaprakash K,Independent,786,0,786,0.07,Tamil Nadu,Karur,S22,23
25,Nagajothi M,Independent,381,0,381,0.04,Tamil Nadu,Karur,S22,23
26,Palanivel P,Independent,527,0,527,0.05,Tamil Nadu,Karur,S22,23
27,Babu G,Independent,305,0,305,0.03,Tamil Nadu,Karur,S22,23
28,Pitchaimuthu T,Independent,281,0,281,0.03,Tamil Nadu,Karur,S22,23
29,Prakash N,Independent,493,0,493,0.05,Tamil Nadu,Karur,S22,23
30,Prabakaran T,Independent,1095,0,1095,0.1,Tamil Nadu,Karur,S22,23
31,Pushpahenryraj S,Independent,855,0,855,0.08,Tamil Nadu,Karur,S22,23
32,Mahamuni A,Independent,2803,0,2803,0.26,Tamil Nadu,Karur,S22,23
33,Magudeeswaran K,Independent,696,0,696,0.06,Tamil Nadu,Karur,S22,23
34,Muthu K R P,Independent,884,0,884,0.08,Tamil Nadu,Karur,S22,23
35,Muthukumar G,Independent,1005,0,1005,0.09,Tamil Nadu,Karur,S22,23
36,Ravi S P,Independent,487,0,487,0.05,Tamil Nadu,Karur,S22,23
37,Ramachandran M,Independent,1407,0,1407,0.13,Tamil Nadu,Karur,S22,23
38,Rajalingam M,Independent,388,0,388,0.04,Tamil Nadu,Karur,S22,23
39,Rajesh Kannan K,Independent,264,0,264,0.02,Tamil Nadu,Karur,S22,23
40,Varadan M,Independent,615,0,615,0.06,Tamil Nadu,Karur,S22,23
41,Vigneshwaran P,Independent,681,0,681,0.06,Tamil Nadu,Karur,S22,23
42,Vinothkumar N,Independent,406,0,406,0.04,Tamil Nadu,Karur,S22,23
43,NOTA,None of the Above,9395,0,9395,0.88,Tamil Nadu,Karur,S22,23
1,DR.Elangovan. V,Desiya Murpokku Dravida Kazhagam,161379,620,161999,15.46,Tamil Nadu,Tiruchirappalli,S22,24
2,Thirunavukkarasar. SU,Indian National Congress,615667,5618,621285,59.28,Tamil Nadu,Tiruchirappalli,S22,24
3,Balamurugan. S,Bahujan Samaj Party,3949,12,3961,0.38,Tamil Nadu,Tiruchirappalli,S22,24
4,Asaithambi. P,Communist Party of India  (Marxist-Leninist)  (Liberation),2667,18,2685,0.26,Tamil Nadu,Tiruchirappalli,S22,24
5,Anandharaja. V,Makkal Needhi Maiam,41970,164,42134,4.02,Tamil Nadu,Tiruchirappalli,S22,24
6,Easudoss. S,Indian Christian Front,1299,4,1303,0.12,Tamil Nadu,Tiruchirappalli,S22,24
7,Ganesan. P,Tamil Nadu Ilangyar Katchi,1318,6,1324,0.13,Tamil Nadu,Tiruchirappalli,S22,24
8,Nachi. S,Desiya Uzhavar Uzhaipalar Kazhagam,2364,4,2368,0.23,Tamil Nadu,Tiruchirappalli,S22,24
9,Vinoth. V,Naam Tamilar Katchi,64979,307,65286,6.23,Tamil Nadu,Tiruchirappalli,S22,24
10,Arunachalam. A,Independent,4884,8,4892,0.47,Tamil Nadu,Tiruchirappalli,S22,24
11,Ganesh. R,Independent,1220,3,1223,0.12,Tamil Nadu,Tiruchirappalli,S22,24
12,Karuppaiah.C,Independent,1212,6,1218,0.12,Tamil Nadu,Tiruchirappalli,S22,24
13,Kamaraj. K,Independent,731,0,731,0.07,Tamil Nadu,Tiruchirappalli,S22,24
14,Karthik. K.M,Independent,2134,2,2136,0.2,Tamil Nadu,Tiruchirappalli,S22,24
15,Gopalakrishnan. V,Independent,2529,3,2532,0.24,Tamil Nadu,Tiruchirappalli,S22,24
16,Shadhik Batcha. A,Independent,3374,2,3376,0.32,Tamil Nadu,Tiruchirappalli,S22,24
17,Sarubala. R. Thondaiman,Independent,100399,419,100818,9.62,Tamil Nadu,Tiruchirappalli,S22,24
18,Sundrarajan.P,Independent,3450,1,3451,0.33,Tamil Nadu,Tiruchirappalli,S22,24
19,Chellaperumal.,Independent,2241,0,2241,0.21,Tamil Nadu,Tiruchirappalli,S22,24
20,Thirunavukarasu. S,Independent,3667,2,3669,0.35,Tamil Nadu,Tiruchirappalli,S22,24
21,Durai Benjamin,Independent,873,3,876,0.08,Tamil Nadu,Tiruchirappalli,S22,24
22,Pushparaj. K,Independent,1601,3,1604,0.15,Tamil Nadu,Tiruchirappalli,S22,24
23,Vijayakumar. P,Independent,1350,4,1354,0.13,Tamil Nadu,Tiruchirappalli,S22,24
24,Jayaram Metha. S,Independent,1158,1,1159,0.11,Tamil Nadu,Tiruchirappalli,S22,24
25,NOTA,None of the Above,14296,141,14437,1.38,Tamil Nadu,Tiruchirappalli,S22,24
1,"SIVAPATHY, N.R",All India Anna Dravida Munnetra Kazhagam,279439,0,279439,25.53,Tamil Nadu,Perambalur,S22,25
2,"Dr.PAARIVENDHAR, T. R",Dravida Munnetra Kazhagam,677005,0,677005,61.84,Tamil Nadu,Perambalur,S22,25
3,"MUTHULAKSHMI, R.",Bahujan Samaj Party,4560,0,4560,0.42,Tamil Nadu,Perambalur,S22,25
4,"SHANTHI, K.",Naam Tamilar Katchi,53229,0,53229,4.86,Tamil Nadu,Perambalur,S22,25
5,"Senthilvel, A.",Ulzaipali Makkal Katchy,1142,0,1142,0.1,Tamil Nadu,Perambalur,S22,25
6,"RAJASEKARAN, M.",Ezhuchi Tamilargal Munnetra Kazhagam,953,0,953,0.09,Tamil Nadu,Perambalur,S22,25
7,"VINOTHKUMAR, S.",Tamil Nadu Ilangyar Katchi,1611,0,1611,0.15,Tamil Nadu,Perambalur,S22,25
8,"ANNADURAI, V.",Independent,959,0,959,0.09,Tamil Nadu,Perambalur,S22,25
9,"ANANDRAJ, B.",Independent,875,0,875,0.08,Tamil Nadu,Perambalur,S22,25
10,"RAJASEKARAN, M.",Independent,45489,0,45489,4.16,Tamil Nadu,Perambalur,S22,25
11,"UTHAMASELVAN, N.",Independent,983,0,983,0.09,Tamil Nadu,Perambalur,S22,25
12,"KARUPPAIYA, M.",Independent,839,0,839,0.08,Tamil Nadu,Perambalur,S22,25
13,"SABABATHI, S.",Independent,885,0,885,0.08,Tamil Nadu,Perambalur,S22,25
14,"SURESH, K.",Independent,1381,0,1381,0.13,Tamil Nadu,Perambalur,S22,25
15,"PACHAMUTHU, P.",Independent,3336,0,3336,0.3,Tamil Nadu,Perambalur,S22,25
16,"MURUGAN, P.",Independent,4311,0,4311,0.39,Tamil Nadu,Perambalur,S22,25
17,"RAJASEKARAN, T.",Independent,2455,0,2455,0.22,Tamil Nadu,Perambalur,S22,25
18,"VINCENT MELBONE, J.",Independent,3170,0,3170,0.29,Tamil Nadu,Perambalur,S22,25
19,"JAVEED HUSSAIN, T.",Independent,913,0,913,0.08,Tamil Nadu,Perambalur,S22,25
20,NOTA,None of the Above,11219,0,11219,1.02,Tamil Nadu,Perambalur,S22,25
1,T. R. V .S. RAMESH,Dravida Munnetra Kazhagam,501998,0,501998,49.93,Tamil Nadu,Cuddalore,S22,26
2,C. JEYAPRAKASH,Bahujan Samaj Party,2726,0,2726,0.27,Tamil Nadu,Cuddalore,S22,26
3,V. ANNAMALAI,Makkal Needhi Maiam,23078,0,23078,2.3,Tamil Nadu,Cuddalore,S22,26
4,KUPPUSAMY,Anti Corruption Dynamic Party,7264,0,7264,0.72,Tamil Nadu,Cuddalore,S22,26
5,Dr. R. GOVINDASAMY,Pattali Makkal Katchi,365219,0,365219,36.33,Tamil Nadu,Cuddalore,S22,26
6,R. CHITHRA,Naam Tamilar Katchi,33379,0,33379,3.32,Tamil Nadu,Cuddalore,S22,26
7,CHELLADURAI,Tamil Nadu Ilangyar Katchi,2506,0,2506,0.25,Tamil Nadu,Cuddalore,S22,26
8,M PAVADAI RAJA,Agila India Makkal Kazhagam,450,0,450,0.04,Tamil Nadu,Cuddalore,S22,26
9,A. MANIKANDAN,Purvanchal Janta Party (Secular),614,0,614,0.06,Tamil Nadu,Cuddalore,S22,26
10,M. RAGHUNATHAN,Ilantamilar Munnani Kazhagam,724,0,724,0.07,Tamil Nadu,Cuddalore,S22,26
11,S. RAJAMOHAN,Independent,892,0,892,0.09,Tamil Nadu,Cuddalore,S22,26
12,K. RAMAN,Independent,1867,0,1867,0.19,Tamil Nadu,Cuddalore,S22,26
13,D. SANKAR,Independent,2767,0,2767,0.28,Tamil Nadu,Cuddalore,S22,26
14,M. SATHIYASEELAN,Independent,1626,0,1626,0.16,Tamil Nadu,Cuddalore,S22,26
15,D. SENTHAMARAI KANNAN,Independent,1223,0,1223,0.12,Tamil Nadu,Cuddalore,S22,26
16,K. THANGAVEL,Independent,43465,0,43465,4.32,Tamil Nadu,Cuddalore,S22,26
17,S. DHANASEKARAN,Independent,3191,0,3191,0.32,Tamil Nadu,Cuddalore,S22,26
18,A. MARIMUTHU,Independent,609,0,609,0.06,Tamil Nadu,Cuddalore,S22,26
19,MOOVANDHAN,Independent,1460,0,1460,0.15,Tamil Nadu,Cuddalore,S22,26
20,A. JAYAMANI,Independent,559,0,559,0.06,Tamil Nadu,Cuddalore,S22,26
21,K. HEMANTH KUMAR,Independent,1305,0,1305,0.13,Tamil Nadu,Cuddalore,S22,26
22,NOTA,None of the Above,8442,0,8442,0.84,Tamil Nadu,Cuddalore,S22,26
1,CHANDRASEKAR P,All India Anna Dravida Munnetra Kazhagam,453515,0,453515,43.05,Tamil Nadu,Chidambaram,S22,27
2,KRISHNARAJ M,Anaithu Makkal Puratchi Katchi,4208,0,4208,0.4,Tamil Nadu,Chidambaram,S22,27
3,SIVAJOTHI M,Naam Tamilar Katchi,34866,0,34866,3.31,Tamil Nadu,Chidambaram,S22,27
4,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,455733,0,455733,43.26,Tamil Nadu,Chidambaram,S22,27
5,PARVATHI S,Desiya Makkal Sakthi Katchi,3742,0,3742,0.36,Tamil Nadu,Chidambaram,S22,27
6,RAVI T,Makkal Needhi Maiam,14534,0,14534,1.38,Tamil Nadu,Chidambaram,S22,27
7,ELAVARASAN A,Independent,57600,0,57600,5.47,Tamil Nadu,Chidambaram,S22,27
8,KALAIYARASAN R,Independent,1984,0,1984,0.19,Tamil Nadu,Chidambaram,S22,27
9,KITTU T,Independent,1107,0,1107,0.11,Tamil Nadu,Chidambaram,S22,27
10,KRISHNAKUMARI A,Independent,1564,0,1564,0.15,Tamil Nadu,Chidambaram,S22,27
11,GURUSAMY P,Independent,6369,0,6369,0.6,Tamil Nadu,Chidambaram,S22,27
12,PERIYASAMY T,Independent,1342,0,1342,0.13,Tamil Nadu,Chidambaram,S22,27
13,JAGATHEESAN M,Independent,2718,0,2718,0.26,Tamil Nadu,Chidambaram,S22,27
14,NOTA,None of the Above,14278,0,14278,1.36,Tamil Nadu,Chidambaram,S22,27
1,ASAIMANI. S,All India Anna Dravida Munnetra Kazhagam,325606,530,326136,30.8,Tamil Nadu,Mayiladuthurai,S22,28
2,RAMALINGAM. S,Dravida Munnetra Kazhagam,575676,3447,579123,54.68,Tamil Nadu,Mayiladuthurai,S22,28
3,KALYANA SUNDARAM. N,Bahujan Samaj Party,3083,10,3093,0.29,Tamil Nadu,Mayiladuthurai,S22,28
4,SUBHASHINI. K,Naam Tamilar Katchi,39143,127,39270,3.71,Tamil Nadu,Mayiladuthurai,S22,28
5,REFAYUDEEN. M,Makkal Needhi Maiam,16412,51,16463,1.55,Tamil Nadu,Mayiladuthurai,S22,28
6,HABEEB MOHAMED. U,All Pensioner’s Party,865,0,865,0.08,Tamil Nadu,Mayiladuthurai,S22,28
7,ANNADURAI. K,Independent,312,1,313,0.03,Tamil Nadu,Mayiladuthurai,S22,28
8,ABDUL BASEETH,Independent,345,3,348,0.03,Tamil Nadu,Mayiladuthurai,S22,28
9,ARAVAAZHI. K,Independent,580,2,582,0.05,Tamil Nadu,Mayiladuthurai,S22,28
10,KANNAPIRAN. M,Independent,454,0,454,0.04,Tamil Nadu,Mayiladuthurai,S22,28
11,KANNAN. R,Independent,407,2,409,0.04,Tamil Nadu,Mayiladuthurai,S22,28
12,KRITHIVASAN. S,Independent,848,4,852,0.08,Tamil Nadu,Mayiladuthurai,S22,28
13,SHANMUGAM. M,Independent,696,0,696,0.07,Tamil Nadu,Mayiladuthurai,S22,28
14,SAMIDURAI. E,Independent,586,2,588,0.06,Tamil Nadu,Mayiladuthurai,S22,28
15,SRINIVASAN. V,Independent,2102,0,2102,0.2,Tamil Nadu,Mayiladuthurai,S22,28
16,SUGUMARAN. K,Independent,2383,0,2383,0.23,Tamil Nadu,Mayiladuthurai,S22,28
17,SUBRAMANIAN. P,Independent,3075,0,3075,0.29,Tamil Nadu,Mayiladuthurai,S22,28
18,SENTHAMIZHAN. S,Independent,66299,102,66401,6.27,Tamil Nadu,Mayiladuthurai,S22,28
19,THIRUGNANASAMBANDAM. D,Independent,1045,1,1046,0.1,Tamil Nadu,Mayiladuthurai,S22,28
20,THIRUNAVUKKARASU. R,Independent,455,2,457,0.04,Tamil Nadu,Mayiladuthurai,S22,28
21,KAPPUR DHAKSHINAMOORTHY. M,Independent,989,0,989,0.09,Tamil Nadu,Mayiladuthurai,S22,28
22,DEVADOS. P,Independent,1259,0,1259,0.12,Tamil Nadu,Mayiladuthurai,S22,28
23,RAJASEKAR. A,Independent,1280,2,1282,0.12,Tamil Nadu,Mayiladuthurai,S22,28
24,RAJA. N,Independent,249,0,249,0.02,Tamil Nadu,Mayiladuthurai,S22,28
25,RAJESH. P,Independent,398,0,398,0.04,Tamil Nadu,Mayiladuthurai,S22,28
26,VANIDHAS. M,Independent,751,0,751,0.07,Tamil Nadu,Mayiladuthurai,S22,28
27,VILVANATHAN. M,Independent,1558,0,1558,0.15,Tamil Nadu,Mayiladuthurai,S22,28
28,NOTA,None of the Above,7867,40,7907,0.75,Tamil Nadu,Mayiladuthurai,S22,28
1,ANITHA V,Bahujan Samaj Party,5258,0,5258,0.57,Tamil Nadu,Nagapattinam,S22,29
2,SARAVANAN M,All India Anna Dravida Munnetra Kazhagam,288443,0,288443,31.19,Tamil Nadu,Nagapattinam,S22,29
